condition,filters,rmsDb,rmsDbChange,spectralCentroidHz,spectralCentroidChangeHz,spectralRolloffHz,lowEnergyRatio,speechEnergyRatio,highEnergyRatio,spectralFlatness,spectralFlux,zcr,meanSpeechConfidence,meanBoundaryConfidence,voicedFrameRatio,speechLikeRatio,processingTimeSec,speedFactor
Raw input,,-33.625751773088346,0,2119.2388151289697,0,3283.173076923077,0.022583157832178815,0.9772946562313959,0.00012218593642549338,0.46632346510887146,0.4114297926425934,0.16607553680981596,0.5968786921456545,0.04230769230769231,0.6538461538461539,0.7307692307692307,0.9729859000071883,2.663964606250564
High-pass 80 Hz,highpass,-35.5942690662695,-1.9685172931811508,1223.6447591118372,-895.5940560171325,1695.1923076923076,0.005362978434091132,0.994419625112005,0.00021739645390395605,0.42469072341918945,0.3565284013748169,0.12448475843558282,0.596180156674343,0.1653846153846154,0.6923076923076923,0.8076923076923077,1.0112827999982983,2.563081266688568
Low-pass 4000 Hz,lowpass,-33.79543073720246,-0.16967896411411232,1506.235580505788,-613.0032346231817,2138.9423076923076,0.023217035493037944,0.9767758872220473,0.000007077284915038635,0.45142287015914917,0.39820677042007446,0.1305118865030675,0.5892921007108229,0.04230769230769231,0.6538461538461539,0.7307692307692307,0.9627348000067286,2.6923302242547837
Band-pass 80-4000 Hz,bandpass,-35.809972129143894,-2.1842203560555475,972.4715610053822,-1146.7672541235875,1244.4711538461538,0.005508702803637115,0.9944788123654186,0.000012484830944559567,0.41061878204345703,0.3453250527381897,0.10425853144171779,0.5538283297132478,0.1653846153846154,0.6923076923076923,0.7692307692307693,0.9761289000161923,2.6553870087823475
Spectral noise suppression,noise,-33.625751773088346,0,2298.537060765549,179.2982456365794,3577.403846153846,0.022583158020602026,0.9772946560760559,0.00012218590334220933,0.46632352471351624,0.4114297330379486,0.2014115222392638,0.5968615650626529,0.04230769230769231,0.6538461538461539,0.7307692307692307,0.9957636000472121,2.6030274654316603
RMS normalization,normalize,-23.01029955604534,10.615452217043007,2119.2388097316675,-0.000005397302174969809,3283.173076923077,0.022583157850629705,0.9772946562151246,0.00012218593424576346,0.4451737105846405,1.3965880870819092,0.17511023773006135,2.078915673180543,0.04230769230769231,0.6538461538461539,0.8846153846153846,0.9704285999760032,2.670984758759269
Pre-emphasis,preemphasis,-36.51888155969295,-2.8931297866046037,2712.091325459198,592.8525103302281,3746.033653846154,0.00010182994606539659,0.9990180143787948,0.0008801556751401243,0.4765157401561737,0.29824408888816833,0.20670772622699388,1.159041997752934,0.1653846153846154,0.6538461538461539,0.9615384615384616,0.9808041999931447,2.642729303176023
