condition,filters,rmsDb,rmsDbChange,spectralCentroidHz,spectralCentroidChangeHz,spectralRolloffHz,lowEnergyRatio,speechEnergyRatio,highEnergyRatio,spectralFlatness,spectralFlux,zcr,meanSpeechConfidence,meanBoundaryConfidence,voicedFrameRatio,speechLikeRatio,processingTimeSec,speedFactor
Raw input,,-25.034352263332504,0,1672.7008296217753,0,3086.720452069717,0.048435423112186446,0.7945113777027143,0.15705319918509936,0.051387686282396317,3.034097909927368,0.13213196864111498,8.464396409402,0.051630434782608696,0.9184782608695652,0.9510869565217391,8.232445900037419,2.229744382518999
High-pass 80 Hz,highpass,-28.75582647592495,-3.721474212592444,2028.4668271847024,355.76599756292717,3666.1900871459693,0.00005979528595234922,0.8330138945841283,0.16692631012991932,0.07288694381713867,2.0674099922180176,0.1872686193379791,10.996420286814013,0.07391304347826087,0.9510869565217391,0.9510869565217391,8.858190400002059,2.0722347534995107
Low-pass 4000 Hz,lowpass,-25.139846145852225,-0.10549388251972047,947.4027072207743,-725.2981224010009,1854.2517701525055,0.05760212312588423,0.9422524336086986,0.000145443265417185,0.014095687307417393,2.82132887840271,0.0762943706445993,7.632768112064294,0.051630434782608696,0.9184782608695652,0.9565217391304348,8.50494549999712,2.1583030720192404
Band-pass 80-4000 Hz,bandpass,-29.00246937746911,-3.968117114136607,1209.9707199652328,-462.7301096565425,2215.2947984749453,0.00007051733843430599,0.9997808039918421,0.00014867866972392716,0.014118468388915062,1.819236397743225,0.11802285224303136,11.879673504687533,0.08288043478260869,0.9456521739130435,0.9565217391304348,8.892100199998822,2.0643323384955146
Spectral noise suppression,noise,-25.042182863234252,-0.007830599901748059,1438.8571342780058,-233.84369534376947,2494.638480392157,0.04651598706205005,0.7957850914668219,0.1576989214711281,0.10846715420484543,2.986910820007324,0.11611396178135888,12.85487565729199,0.05298913043478261,0.9184782608695652,0.9347826086956522,8.535219400015194,2.1506477033229308
RMS normalization,normalize,-20.26774334247908,4.766608920853425,1672.7182817075688,0.01745208579359314,3086.61832788671,0.04843542332354915,0.794511375800968,0.157053200875483,0.04977947100996971,5.337919235229492,0.13213196864111498,12.555209891642296,0.050815217391304346,0.9184782608695652,0.9619565217391305,8.525368199974764,2.153132811325889
Pre-emphasis,preemphasis,-34.83740930495483,-9.803057041622328,3350.8304561368586,1678.1296265150834,5449.550653594772,0.00007602435963056167,0.1281192978560448,0.8718046777843245,0.13830165565013885,1.1987812519073486,0.36298692018728224,10.055148769717208,0.053260869565217396,0.9184782608695652,0.9456521739130435,8.292328300012741,2.213642457929674
